from,to,weight,relationship
4,1,2,1
4,2,2,1
4,3,2,1
5,3,2,1
5,6,1,1
5,7,2,1
8,3,2,1
8,4,1,1
8,9,2,1
10,3,2,1
11,3,2,1
12,3,2,1
13,3,2,1
14,3,2,1
15,3,1,1
16,3,2,1
17,3,1,1
18,3,1,1
19,3,1,1
20,3,1,1
21,3,1,1
22,23,2,1
24,25,2,1
26,24,1,1
27,24,1,1
27,25,1,1
28,29,2,1
29,39,2,1
29,30,2,2
30,28,2,1
41,43,2,1
31,29,2,2
31,28,2,1
41,44,2,1
32,28,2,1
33,40,1,1
41,45,2,1
34,35,2,1
34,9,2,1
34,3,1,1
34,36,2,1
37,35,2,1
45,44,2,1
38,4,2,1
3,25,2,1
3,28,2,1
3,33,2,1
3,22,2,1
3,9,2,1
3,37,2,1
44,46,2,1
45,46,2,1
31,42,2,1
31,46,2,1
31,47,2,2
48,57,2,1
47,30,2,2
48,49,1,1
49,4,2,1
47,2,1,1
48,4,2,1
55,3,2,1
55,4,2,1
56,3,2,1
56,4,2,1
51,3,2,1
51,4,2,1
50,51,2,1
50,4,2,1
52,51,2,1
52,53,2,1
54,53,2,1
54,55,2,1
54,42,2,1
54,56,2,1
54,40,2,1
40,56,2,1
54,30,2,2
